dataset,mcc_breiman,mcc_ancestor,mcc_zhu
0_0_0_0,0,0,0
0_0_0_1,1,-0.043478260869565216,-0.043478260869565216
0_0_1_0,0.408248290463863,0,0
0_0_1_1,0,0,0
1_0_0_0,0,0,0
1_0_0_1,0.905596941307677,0.8036375634160796,0.8036375634160796
1_0_1_0,0,0,0
1_0_1_1,0,0,0
1_2_0_0,0,0,0
1_2_0_1,0.3802722156393229,0.3802722156393229,0.3114300614163234
1_2_1_0,0,0,0
1_2_1_1,0.03711537444790452,0.03711537444790452,0.03711537444790452
1_3_0_0,0,0,0
1_3_0_1,-0.31622776601683794,0,0
1_3_1_0,0,0,0
1_3_1_1,0,0,0
1_4_0_0,0,0,0
1_4_0_1,0,0,0
1_4_1_0,0,0,0
1_4_1_1,0,0,0
1_5_0_0,0,0,0
1_5_0_1,0,0,0
1_5_1_0,0,0,0
1_5_1_1,0,0,0
2_0_0_0,0,0,0
2_0_0_1,0.5795492139869115,0.5795492139869115,0.6154574548966637
2_0_1_0,0,-0.0890870806374748,-0.0890870806374748
2_0_1_1,-0.1,-0.1,0
2_1_0_0,0.5877538136452587,0,0
2_1_0_1,0,0,0
2_1_1_0,0,0,0
2_1_1_1,0,-0.12556180058348068,-0.12556180058348068
2_2_0_0,0.3917793378290977,0.3815150088781359,0.3917793378290977
2_2_0_1,0.16735967034880075,0.24845199749997662,0.24845199749997662
2_2_1_0,-0.061141784051574305,-0.061141784051574305,0.06535768413162361
2_2_1_1,0,0.2721655269759087,0.2721655269759087
2_3_0_0,0,0,0
2_3_0_1,0.06994546379906659,0.06994546379906659,0.06994546379906659
2_3_1_0,0,0,0
2_3_1_1,-0.009615384615384616,0,-0.009615384615384616
2_4_0_0,0.5445811486371709,0.5445811486371709,0.5445811486371709
2_4_0_1,0.6685631938613181,0.5817538139110048,0.5566835153049942
2_4_1_0,0.2055270768301462,0.2055270768301462,0.1736119344464813
2_4_1_1,-0.05638264962737366,-0.05638264962737366,-0.05638264962737366
2_5_0_0,0.17366269075057592,0.17366269075057592,0.17366269075057592
2_5_0_1,-0.31598125869132787,-0.2650165395475653,-0.2650165395475653
2_5_1_0,-0.02168157034026343,-0.020201872973607943,-0.020201872973607943
2_5_1_1,0.14538714647536227,0.2345806858967721,0.19204961902531503
