Dataset,ROC-AUC,Breiman,Ancestor,Zhu
0_0_0_0,0.03749999999999999,1,1,1
0_0_0_1,0.7608695652173912,1,0.6915640748081247,0.6915640748081247
0_0_1_0,0.1875,0.408248290463863,0.408248290463863,0.408248290463863
0_0_1_1,0.575,0,0,0
1_0_0_0,0.9,1,1,1
1_0_0_1,0,0.9183234573668639,0.9183234573668639,0.9183234573668639
1_0_1_0,0.3910714285714288,-0.13231403100624078,-0.14787119128764734,-0.14015297764534704
1_0_1_1,0.5042087542087543,0.1631346168837456,0.15521549593647763,0.2157796249900499
1_2_0_0,0.5699530516431925,0.34932422552630027,0.29312988665495415,0.3435098887144059
1_2_0_1,0.5137254901960784,0,0,0
1_2_1_0,0.6202380952380953,-0.08607954468476404,0.09974409009162168,0.01391778001278442
1_2_1_1,0.45999999999999996,0.2041241452319315,0.2041241452319315,0.2041241452319315
1_3_0_0,0.09999999999999998,0,0,0
1_3_0_1,0.525,0,0,0
1_3_1_0,0.55,0.21320071635561041,0,0
1_3_1_1,0.2777777777777778,1,1,1
1_4_0_0,0.16666666666666666,0,0,0
1_4_0_1,0.09999999999999998,0.4767312946227961,0.4767312946227961,0.4767312946227961
1_4_1_0,0.2424242424242424,0,0,0
1_4_1_1,0.5,-0.15811388300841897,-0.15811388300841897,-0.15811388300841897
1_5_0_0,0.65,0,-0.13483997249264842,0
1_5_0_1,0.17916666666666667,0.6116235225474355,0.5166666666666667,0.5166666666666667
1_5_1_0,0.5000000000000001,0.45226701686664544,0.4979295977319692,0.4746540241984124
1_5_1_1,0.7559523809523809,0.010218988991416097,0.0545544725589981,-0.029160592175990215
2_0_0_0,0.36,-0.1,-0.1,-0.1
2_0_0_1,0.1368421052631579,0.8885233166386385,0.7994358913389504,0.7994358913389504
2_0_1_0,0.5764705882352941,0.7798142070288355,0.6174740333921486,0.6174740333921486
2_0_1_1,0.7265625,0.25,0.28867513459481287,0.14002800840280097
2_1_0_0,0.5520833333333334,-0.0314970394174356,0.09356014857063996,-0.0314970394174356
2_1_0_1,0.2055386178861789,0.23164170473278306,0.24987416913830335,0.25817537024150633
2_1_1_0,0.19444444444444442,0.3905632887762015,0.5865557254410011,0.4893451639269458
2_1_1_1,0.5204439252336448,0.048199308314592,-0.026601775386727703,-0.045692518689695066
2_2_0_0,0.2777777777777778,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111
2_2_0_1,0.1845637583892617,0,0,0
2_2_1_0,0,0.0713044556589937,0.07405871911902757,0.07405871911902757
2_2_1_1,0.3277027027027027,-0.011782931197481843,-0.011782931197481843,-0.011782931197481843
2_3_0_0,0.35096153846153844,0,0,0
2_3_0_1,0.2001633986928105,0.6669389422208677,0.6834676493307207,0.658652814016432
2_3_1_0,0.15104166666666666,0.4898055857016249,0.37644132947135533,0.35791699479543954
2_3_1_1,0.39762931034482757,-0.1438715589936259,-0.07676198691990298,-0.15403707996220933
2_4_0_0,0.3723723723723723,-0.08171738102717738,-0.10510510510510511,-0.10510510510510511
2_4_0_1,0.8392857142857143,0.13914345926287408,0.11580621191111108,0.11952286093343936
2_4_1_0,0.33831168831168834,0.20122269392484837,0.20122269392484837,0.20122269392484837
2_4_1_1,0.667910447761194,-0.0293845425070661,-0.0293845425070661,-0.030542361089076306
2_5_0_0,0.37888198757763975,-0.263823541230135,-0.22407735027510273,-0.22407735027510273
