Dataset,ROC-AUC,MCC
0_0_0,0.5745738636363636,0.8907235428302466
0_0_1,0.5644628099173553,0.2773500981126146
0_1_0,0.9,1
0_1_1,0.75,0
0_2_0,0.20238095238095233,0.7023809523809523
0_2_1,0.3382352941176471,0
0_4_0,0.5,0.7844645405527361
0_4_1,0.5,0
1_0_0,0.528125,0.7126096406869613
1_0_1,0.44782608695652176,0
1_2_0,0.07526881720430106,1
1_2_1,0.825,0
1_3_0,0.3315789473684212,0.38518207546557526
1_3_1,0.5380952380952382,0
1_4_0,0.8689655172413793,0
1_4_1,0.26223776223776224,0
2_0_0,0.6956521739130435,1
2_0_1,0.5238095238095237,0
2_1_0,0.5,0
2_1_1,0.5,0
3_1_0,0.49814497716894973,0.28338671599614595
3_1_1,0.32003546099290786,0
3_3_0,0.6705994897959183,0
3_3_1,0.7110180412371134,0
3_4_0,0.7166666666666666,0.9203579866168445
3_4_1,0.8614583333333333,0
